ID,SKU,Imagem,Produto,Modelo,Categorias,Pontos,Preço,Quantidade,"Produto Destacado",Situação,Etiquetas
13,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/7754-classic-all-black-1.png,"ALL CLASSIC ALL BLACK",13,,," R$ 489,00",159,Sim,Habilitado,
14,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/LANcAMENTO-2026/6034-all-in-post-.jpg,"FOLDERS                                                                                         KIT",14,,," R$ 120,00",83,Não,Habilitado,
19,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2792-casual-black-1.png,"CASUALL BLACK",19,,," R$ 469,00",49,Sim,Habilitado,
22,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/4569-bumper-white-1-.png,"BUMPER WHITE",22,,," R$ 499,00",139,Sim,Habilitado,
23,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/3145-bumper-black-2.png,"BUMPER BLACK",23,,," R$ 499,00",236,Sim,Habilitado,
300,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/9976-casual-grey-2.png,"CASUALL GREY",243,,," R$ 469,00",53,Sim,Habilitado,
25,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/4077-carrinho-1.png,"MALA MOSTRUARIO CARRINHO",25,,," R$ 799,00",17,Sim,Habilitado,
38,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/5118-classic-linho-1.png,"ALL CLASSIC LINHO RECICLADO",38,,," R$ 489,00",57,Sim,Habilitado,
47,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/8321-tapete-all-in.png,"TAPETE DE DEMONSTRACAO",47,,," R$ 200,00",12,Sim,Habilitado,
52,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/5503-img_4850.jpeg,"BONE ALL-IN CLARO",52,,," R$ 44,50",53,Sim,Habilitado,
53,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/6952-foto-palmilha.jpg,"PALMILHA CONFORTPLUS",53,,," R$ 69,00",274,Sim,Habilitado,
6,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/8419-branco1cortt.jpg,"ALL CLASSIC BRANCO OFF WHITE",6,,," R$ 489,00",54,Sim,Habilitado,
364,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/LANcAMENTO-2026/8833-foto-site-7.jpg,"BUMPER NUDE",675,,," R$ 499,00",127,Sim,Habilitado,
69,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/6438-classico-vermelho.jpeg,"ALL CLASSIC VERMELHO",69,,," R$ 489,00",1,Não,Habilitado,
9,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/6120-classic-preto-1.png,"ALL CLASSIC PRETO",9,,," R$ 489,00",366,Sim,Habilitado,
271,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2127-moleskini.png,"Caderneta All-in *R$ 59,00*",agenda,,," R$ 118,00",15,Não,Habilitado,
297,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/3853-pack-sacolas-allin.jpeg,"KIT SACOLA",P.000235,,," R$ 149,00",36,Sim,Habilitado,
303,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2127-moleskini.png,CADERNETA,P.000287,,," R$ 118,00",13,Não,Habilitado,
308,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2342-cloud-chinelo-rose-1.png,"CHINELO CONFORTO ROSE",P.000299,,," R$ 199,00",16,Sim,Habilitado,
309,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2559-cloud-chinelo-preto-1.png,"CHINELO CONFORTO PRETO FEM",P.000300,,," R$ 199,00",8,Sim,Habilitado,
